datetimeutc,conds,dewptm,hum,pressurem,tempm,wdird,wdire
19961107-12:00,Smoke,9,36,1013,25,0,North
19961107-13:00,Smoke,9,38,1013,24,0,North
19961107-14:00,Smoke,10,46,1014,22,0,North
19961107-15:00,Smoke,9,49,1014,20,0,North
19961107-16:00,Smoke,9,52,1014,19,0,North
19961107-17:00,Smoke,9,52,1014,19,0,North
19961107-18:00,Smoke,8,49,1014,19,0,North
19961107-19:00,Smoke,8,52,1014,18,0,North
19961107-20:00,Smoke,9,59,1014,17,0,North
19961107-21:00,Smoke,9,59,1013,17,0,North
19961107-22:00,Smoke,8,59,1013,16,0,North
19961107-23:00,Smoke,8,63,1013,15,0,North
19961108-00:00,Smoke,7,59,1014,15,220,SW
19961108-02:00,Smoke,8,59,1015,16,240,WSW
19961108-03:00,Smoke,7,49,1016,18,240,WSW
19961108-04:00,Smoke,9,46,1016,21,240,WSW
19961101-11:00,Smoke,9,27,1010,30,280,West
19961101-12:00,Smoke,10,32,-9999,28,0,North
19961101-13:00,Smoke,11,44,-9999,24,0,North
19961101-14:00,Smoke,10,41,1010,24,0,North
19961101-16:00,Smoke,11,47,1011,23,0,North
19961101-17:00,Smoke,9,56,1011,21,0,North
19961101-18:00,Smoke,9,60,1010,21,0,North
19961101-19:00,Smoke,8,60,-9999,21,0,North
19961101-20:00,Smoke,7,68,-9999,19,0,North
19961101-21:00,Smoke,8,68,1010,19,0,North
19961101-22:00,Smoke,9,68,1009,19,0,North
19961101-23:00,Smoke,12,64,1009,19,0,North
19961102-00:00,Smoke,11,60,1010,19,0,North
19961102-01:00,Smoke,11,60,1010,19,0,North
19961102-02:00,Smoke,10,52,1011,20,200,SSW
19961102-03:00,Smoke,10,46,1012,22,240,WSW
19961102-04:00,Smoke,10,44,1012,23,250,WSW
19961102-05:00,Smoke,11,39,1012,26,240,WSW
19961102-06:00,Clear,10,32,1011,28,260,West
19961104-16:00,Smoke,9,46,1011,21,0,North
19961104-17:00,Smoke,9,46,1010,21,0,North
19961104-18:00,Smoke,10,59,-9999,18,0,North
19961104-19:00,Haze,11,64,-9999,18,0,North
19961104-21:00,Haze,11,68,1010,17,0,North
19961105-04:00,Smoke,9,38,1009,24,230,SW
19961105-05:00,Smoke,9,34,1009,26,260,West
19961105-06:00,Smoke,8,27,1010,29,240,WSW
19961105-07:00,Smoke,7,23,1010,30,290,WNW
19961105-08:00,Smoke,8,25,1011,30,20,NNE
19961106-07:00,Smoke,9,30,1012,28,20,NNE
19961106-08:00,Smoke,12,25,1011,29,300,WNW
19961106-09:00,Smoke,11,27,1011,29,290,WNW
19961106-10:00,Smoke,11,22,1010,29,310,NW
19961106-11:00,Smoke,10,26,1010,28,310,NW
19961106-12:00,Smoke,10,32,1011,25,0,North
19961106-13:00,Smoke,10,36,1012,24,280,West
19961106-14:00,Smoke,11,52,1012,20,0,North
19961106-15:00,Smoke,10,56,1013,19,0,North
19961106-17:00,Smoke,9,56,1013,19,0,North
19961106-18:00,Smoke,9,56,1013,19,0,North
19961106-19:00,Smoke,10,59,1013,18,0,North
19961106-20:00,Smoke,11,68,1012,17,0,North
19961104-17:00,Smoke,9,46,1015,18,0,North
19961104-18:00,Smoke,10,59,1014,17,0,North
19961104-19:00,Haze,11,64,1014,17,0,North
19961104-21:00,Haze,11,68,1014,16,0,North
19961105-04:00,Smoke,9,38,1014,16,0,North
19961105-05:00,Smoke,9,34,1014,16,0,North
19961105-06:00,Smoke,8,27,1014,15,210,SSW
19961105-07:00,Smoke,7,23,1015,16,230,SW
19961105-08:00,Smoke,8,25,1016,18,240,WSW
19961106-07:00,Smoke,9,30,1016,21,270,West
19961106-08:00,Smoke,7,25,1016,24,240,WSW
19961106-09:00,Smoke,8,27,1014,27,270,West
19961106-10:00,Smoke,5,22,1013,28,270,West
19961106-11:00,Smoke,7,26,1013,28,290,WNW
19961106-12:00,Smoke,7,32,1012,27,280,West
19961106-13:00,Smoke,8,36,1013,25,280,West
19961106-14:00,Smoke,10,52,1013,21,0,North
19961106-15:00,Smoke,10,56,1014,20,0,North
19961106-17:00,Smoke,10,56,1014,19,0,North
19961106-18:00,Smoke,10,56,1014,19,0,North
19961106-19:00,Smoke,10,59,1014,18,0,North
