datetimeutc,conds,dewptm,hum,pressurem,tempm,wdird,wdire
19961101-11:00,Smoke,9,27,1010,30,280,West
19961101-12:00,Smoke,10,32,-9999,28,0,North
19961101-13:00,Smoke,11,44,-9999,24,0,North
19961101-14:00,Smoke,10,41,1010,24,0,North
19961101-16:00,Smoke,11,47,1011,23,0,North
19961101-17:00,Smoke,12,56,1011,21,0,North
19961101-18:00,Smoke,13,60,1010,21,0,North
19961101-19:00,Smoke,13,60,-9999,21,0,North
19961101-20:00,Smoke,13,68,-9999,19,0,North
19961101-21:00,Smoke,13,68,1010,19,0,North
19961101-22:00,Smoke,13,68,1009,19,0,North
19961101-23:00,Smoke,12,64,1009,19,0,North
19961102-00:00,Smoke,11,60,1010,19,0,North
19961102-01:00,Smoke,11,60,1010,19,0,North
19961102-02:00,Smoke,10,52,1011,20,200,SSW
19961102-03:00,Smoke,10,46,1012,22,240,WSW
19961102-04:00,Smoke,10,44,1012,23,250,WSW
19961102-05:00,Smoke,11,39,1012,26,240,WSW
19961102-06:00,Clear,10,32,1011,28,260,West
19961102-07:00,Clear,10,29,1010,30,250,WSW
19961102-08:00,Clear,8,24,1009,31,280,West
19961102-09:00,Clear,7,22,1009,31,270,West
19961102-10:00,Clear,7,22,1009,31,280,West
19961102-11:00,Smoke,8,25,1009,30,270,West
19961102-12:00,Smoke,10,34,1009,27,20,NNE
19961102-13:00,Smoke,11,41,1009,25,0,North
19961102-14:00,Smoke,12,53,1010,22,0,North
19961102-15:00,Smoke,12,56,1010,21,0,North
19961102-16:00,Smoke,12,64,1010,19,0,North
19961102-17:00,Smoke,12,60,1010,20,0,North
19961102-18:00,Smoke,12,64,1009,19,0,North
19961102-19:00,Smoke,11,60,1009,19,0,North
19961102-20:00,Smoke,11,68,1009,17,0,North
19961102-21:00,Smoke,11,68,1009,17,0,North
19961102-22:00,Smoke,12,72,1009,17,0,North
19961102-23:00,Smoke,12,72,1009,17,0,North
19961103-00:00,Smoke,11,68,1010,17,0,North
19961103-01:00,Smoke,11,72,1011,16,0,North
19961103-02:00,Smoke,10,63,1011,17,220,SW
19961103-03:00,Smoke,12,64,1012,19,240,WSW
19961103-04:00,Smoke,12,53,1012,22,230,SW
19961103-05:00,Smoke,14,60,1012,22,250,WSW
19961103-06:00,Smoke,13,44,1011,26,280,West
19961103-07:00,Smoke,9,30,1010,28,270,West
19961103-08:00,Smoke,11,35,1010,28,250,WSW
19961103-09:00,Smoke,11,33,1009,29,270,West
19961103-10:00,Smoke,11,33,1009,29,270,West
19961103-11:00,Smoke,12,39,1009,27,280,West
19961103-12:00,Smoke,12,42,1010,26,0,North
19961103-13:00,Smoke,14,60,1010,22,0,North
19961103-14:00,Smoke,13,57,1011,22,0,North
19961103-15:00,Smoke,13,60,1011,21,0,North
19961103-16:00,Smoke,12,56,1011,21,0,North
19961103-17:00,Smoke,13,64,1011,20,0,North
19961103-18:00,Smoke,12,60,1011,20,0,North
19961103-19:00,Smoke,12,64,1011,19,0,North
19961103-20:00,Smoke,13,68,1010,19,0,North
19961103-21:00,Smoke,12,64,1010,19,0,North
19961103-22:00,Smoke,13,77,1010,17,0,North
19961103-23:00,Smoke,13,77,1010,17,0,North
19961104-00:00,Smoke,12,68,1011,18,0,North
19961104-01:00,Clear,11,77,1012,15,220,SW
19961104-02:00,Smoke,11,68,1013,17,0,North
19961104-03:00,Smoke,12,60,1014,20,0,North
19961104-05:00,Smoke,12,42,1013,26,210,SSW
19961104-06:00,Smoke,12,37,1013,28,0,North
19961104-07:00,Smoke,10,32,1012,28,280,West
19961104-08:00,Smoke,8,27,1011,29,290,WNW
19961104-09:00,Smoke,9,29,1010,29,0,North
19961104-10:00,Smoke,7,25,1010,29,0,North
19961104-11:00,Smoke,10,34,1010,27,0,North
19961104-12:00,Smoke,10,39,1010,25,0,North
19961104-13:00,Smoke,10,44,1011,23,0,North
19961104-16:00,Smoke,9,46,1011,21,0,North
19961104-17:00,Smoke,9,46,1011,21,0,North
19961104-18:00,Smoke,10,59,1011,18,0,North
19961104-19:00,Haze,11,64,1011,18,0,North
19961104-21:00,Haze,11,68,1010,17,0,North
19961105-04:00,Smoke,9,38,1013,24,230,SW
19961105-05:00,Smoke,9,34,1013,26,260,West
19961105-06:00,Smoke,8,27,1012,29,240,WSW
19961105-07:00,Smoke,7,23,1011,30,290,WNW
19961105-08:00,Smoke,8,25,1010,30,20,NNE
19961106-07:00,Smoke,9,30,1012,28,20,NNE
19961106-08:00,Smoke,7,25,1011,29,300,WNW
19961106-09:00,Smoke,8,27,1011,29,290,WNW
19961106-10:00,Smoke,5,22,1010,29,310,NW
19961106-11:00,Smoke,7,26,1010,28,310,NW
19961106-12:00,Smoke,7,32,1011,25,0,North
19961106-13:00,Smoke,8,36,1012,24,280,West
19961106-14:00,Smoke,10,52,1012,20,0,North
19961106-15:00,Smoke,10,56,1013,19,0,North
19961106-17:00,Smoke,10,56,1013,19,0,North
19961106-18:00,Smoke,10,56,1013,19,0,North
19961106-19:00,Smoke,10,59,1013,18,0,North
19961106-20:00,Smoke,11,68,1012,17,0,North
19961106-21:00,Smoke,11,72,1012,16,0,North
19961106-22:00,Smoke,11,72,1012,16,0,North
19961106-23:00,Smoke,11,77,1012,15,0,North
19961107-00:00,Smoke,11,77,1012,15,0,North
19961107-01:00,Smoke,11,68,1013,17,230,SW
19961107-02:00,Smoke,10,59,1014,18,0,North
19961107-03:00,Smoke,12,64,1015,19,270,West
19961107-04:00,Smoke,13,53,1015,23,260,West
19961107-05:00,Smoke,13,47,1015,25,280,West
19961107-06:00,Smoke,11,37,1014,27,290,WNW
19961107-07:00,Clear,11,33,1013,29,290,WNW
19961107-08:00,Clear,8,27,1012,29,300,WNW
19961107-09:00,Clear,8,25,1012,30,300,WNW
19961107-10:00,Smoke,7,23,1012,30,310,NW
19961107-11:00,Smoke,7,25,1012,29,300,WNW
19961107-12:00,Smoke,9,36,1013,25,0,North
19961107-13:00,Smoke,9,38,1013,24,0,North
19961107-14:00,Smoke,10,46,1014,22,0,North
19961107-15:00,Smoke,9,49,1014,20,0,North
19961107-16:00,Smoke,9,52,1014,19,0,North
19961107-17:00,Smoke,9,52,1014,19,0,North
19961107-18:00,Smoke,8,49,1014,19,0,North
19961107-19:00,Smoke,8,52,1014,18,0,North
19961107-20:00,Smoke,9,59,1014,17,0,North
19961107-21:00,Smoke,9,59,1013,17,0,North
19961107-22:00,Smoke,8,59,1013,16,0,North
19961107-23:00,Smoke,8,63,1013,15,0,North
19961108-00:00,Smoke,7,59,1014,15,220,SW
19961108-02:00,Smoke,8,59,1015,16,240,WSW
19961108-03:00,Smoke,7,49,1016,18,240,WSW
19961108-04:00,Smoke,9,46,1016,21,240,WSW
19961108-05:00,Smoke,9,38,1016,24,280,West
19961108-06:00,Smoke,9,32,1016,27,270,West
19961108-07:00,Smoke,5,23,1015,28,300,WNW
19961108-08:00,Haze,6,23,1014,29,0,North
19961108-09:00,Haze,6,23,1014,29,0,North
19961108-10:00,Haze,6,25,1014,28,300,WNW
19961108-11:00,Smoke,6,26,1014,27,0,North
19961108-12:00,Smoke,9,41,1014,23,0,North
19961108-13:00,Smoke,9,46,1015,21,0,North
19961108-14:00,Smoke,10,49,1015,21,0,North
19961108-15:00,Smoke,9,49,1015,20,0,North
19961108-16:00,Smoke,9,49,1015,20,0,North
19961108-17:00,Smoke,10,56,1015,19,0,North
19961108-18:00,Smoke,9,52,1015,19,0,North
19961108-19:00,Smoke,10,59,1015,18,0,North
19961108-20:00,Smoke,9,59,1014,17,0,North
19961108-21:00,Smoke,9,59,1014,17,0,North
19961108-22:00,Unknown,8,59,1014,16,0,North
19961108-23:00,Smoke,8,59,1014,16,0,North
19961109-00:00,Smoke,7,55,1014,16,0,North
19961109-01:00,Smoke,7,59,1014,15,210,SSW
19961109-02:00,Smoke,6,52,1015,16,230,SW
19961109-03:00,Smoke,7,49,1016,18,240,WSW
19961109-04:00,Smoke,9,46,1016,21,270,West
19961109-05:00,Smoke,9,38,1016,24,240,WSW
19961109-07:00,Smoke,7,28,1014,27,270,West
19961109-08:00,Smoke,8,28,1013,28,270,West
19961109-09:00,Clear,7,26,1013,28,290,WNW
19961109-11:00,Smoke,8,30,1012,27,280,West
19961109-12:00,Smoke,7,32,1013,25,280,West
19961109-13:00,Smoke,8,43,1013,21,0,North
19961109-14:00,Smoke,8,46,1014,20,0,North
19961109-15:00,Smoke,9,52,1014,19,0,North
19961109-16:00,Smoke,9,52,1014,19,0,North
19961109-17:00,Smoke,9,56,1014,18,0,North
19961109-18:00,Smoke,8,55,1014,17,0,North
